Group,Category,Menu Item,Gross,Void Qty,Void Amt,Refund Qty,Refund Amt,Option Amt,Discount,PriceLevelAdj,Approx. Tax,Net Qty,Net Sales
,,Franz English Muffin Whole Wheat 6CT,21.54,0,0,0,0,0,0,0,0,6,21.54
,,Franz Garlic Bread,25.45,0,0,0,0,0,0,0,0,5,25.45
,,Franz Hawaiian Dinner Rolls 12CT,263.56,0,0,0,0,0,-0.25,0,0,44,263.31
,,Franz Hot Dog Buns 8CT,38.5,0,0,0,0,0,0,0,0,11,38.5
,,La Burrita Tortilla Corn Yellow 7.5z/10's,51.8,0,0,0,0,0,0,0,0,20,51.8
,,Mission Tortilla Flour 10in 8CT,70.02,0,0,0,0,0,-0.64,0,0,18,69.38
,,Mission Tortilla Flour 8in 10CT,62.82,0,0,0,0,0,0,0,0,18,62.82
,,Parisian Star Baguette,39.9,0,0,0,0,0,0,0,0,10,39.9
,,Parisian Star Sourdough,59.9,0,0,0,0,0,-0.6,0,0,10,59.3
,Bread,---,4757.25,0,0,0,0,0,-7.58,0,---,855,4749.67
,Packaged Baked Goods,Alki Cookie Ginger Molasses,13.45,0,0,0,0,0,0,0,0,5,13.45
,,Alki RC Cookie Snickerdoodle,5.38,0,0,0,0,0,0,0,0,2,5.38
,,Chatham Caesar Croutons,23.03,0,0,0,0,0,0,0,0,7,23.03
,,Chatham Cheese Garlic Croutons,23.03,0,0,0,0,0,0,0,0,7,23.03
,,Cougar Chocolate Chunk,419.07,0,0,0,0,0,-0.23,0,0,183,418.84
,,Cougar Chocolate Chunk Box,257.57,0,0,0,0,0,0,0,0,43,257.57
,,Cougar Dipped Choc Chunk,312.48,0,0,0,0,0,-1.37,0,0,112,311.11
,,Cougar Dipped Peanut Butter,103.23,0,0,0,0,0,-0.56,0,0,37,102.67
,,Cougar Molasses Box,17.97,0,0,0,0,0,0,0,0,3,17.97
,,Cougar Molasses Ginger,61.83,0,0,0,0,0,0,0,0,27,61.83
,,Cougar Oatmeal Chocolate Chunk,53.91,0,0,0,0,0,0,0,0,9,53.91
,,Cougar Oatmeal Raisin Box,53.91,0,0,0,0,0,0,0,0,9,53.91
,,Cougar PB Chocolate Chunk Box,29.95,0,0,0,0,0,0,0,0,5,29.95
,,Cougar Pumpkin Box,59.9,0,0,0,0,0,0,0,0,10,59.9
,,Cougar Seasonal Cookie,70.99,0,0,0,0,0,-0.23,0,0,31,70.76
,,Cougar Snickerdoodle,219.84,0,0,0,0,0,-0.23,0,0,96,219.61
,,Cougar Snickerdoodle Box,59.9,0,0,0,0,0,0,0,0,10,59.9
,,Cougar Triple Chocolate Walnut,135.11,0,0,0,0,0,0,0,0,59,135.11
,,Cougar Vegan German Chocolate,53.91,0,0,0,0,0,0,0,0,9,53.91
,,Franz Donuts Chocolate 6CT,68.64,0,0,0,0,0,-1.95,0,0,16,66.69
,,Franz Donuts Old Fashioned 6CT,124.41,0,0,0,0,0,-0.25,0,0,29,124.16
,,Franz Donuts Powdered Jelly 6CT,47.19,0,0,0,0,0,0,0,0,11,47.19
,,Nemo Banana Bread,52.47,0,0,0,0,0,0,0,0,33,52.47
,,Nemo Banana Cake,27.03,0,0,0,0,0,0,0,0,17,27.03
,,Nemo Cake Square Birthday,62.37,0,0,0,0,0,0,0,0,33,62.37
,,Nemo Cake Square Carrot,75.6,0,0,0,0,0,-0.69,0,0,40,74.91
,,Nemo Cake Square Chocolate,124.74,0,0,0,0,0,-0.19,0,0,66,124.55
,,Nemo Cake Square Lemon,41.58,0,0,0,0,0,-0.38,0,0,22,41.2
