Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table,Average#Guests
2024,3,28,11:30 - 11:59,Cashier,2289.62,184,12.44,184,12.44,184,12.44,1,1,
2024,3,29,11:30 - 11:59,Cashier,2102.15,181,11.61,180,11.68,181,11.61,0.99,0.99,
2024,3,30,11:30 - 11:59,Cashier,1380.54,118,11.7,117,11.8,118,11.7,0.99,0.99,174.6666667
2024,3,25,12:00 - 12:29,Cashier,1978.2,167,11.85,167,11.85,167,11.85,1,1,
2024,3,26,12:00 - 12:29,Cashier,2679.29,199,13.46,198,13.53,199,13.46,0.99,0.99,
2024,3,27,12:00 - 12:29,Cashier,1794.15,164,10.94,162,11.07,164,10.94,0.99,0.99,
2024,3,28,12:00 - 12:29,Cashier,1991.64,196,10.16,196,10.16,196,10.16,1,1,
2024,3,29,12:00 - 12:29,Cashier,1683.74,138,12.2,138,12.2,138,12.2,1,1,
2024,3,30,12:00 - 12:29,Cashier,1448.49,120,12.07,120,12.07,120,12.07,1,1,163.5
2024,3,25,12:30 - 12:59,Cashier,3161.39,219,14.44,219,14.44,219,14.44,1,1,
2024,3,26,12:30 - 12:59,Cashier,3095.26,236,13.12,236,13.12,236,13.12,1,1,
2024,3,27,12:30 - 12:59,Cashier,3057.67,240,12.74,240,12.74,240,12.74,1,1,
2024,3,28,12:30 - 12:59,Cashier,2666.33,229,11.64,229,11.64,229,11.64,1,1,
2024,3,29,12:30 - 12:59,Cashier,2982.63,209,14.27,209,14.27,209,14.27,1,1,
2024,3,30,12:30 - 12:59,Cashier,1519.36,99,15.35,99,15.35,99,15.35,1,1,205.3333333
2024,3,25,13:00 - 13:29,Cashier,1905.31,154,12.37,154,12.37,154,12.37,1,1,
2024,3,26,13:00 - 13:29,Cashier,1542.72,150,10.28,149,10.35,150,10.28,0.99,0.99,
2024,3,27,13:00 - 13:29,Cashier,1476.55,136,10.86,135,10.94,136,10.86,0.99,0.99,
2024,3,28,13:00 - 13:29,Cashier,1631.09,144,11.33,143,11.41,144,11.33,0.99,0.99,
